
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur BFMTV

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:20:23
"BESOIN D?EUROPE";07:55:17
"CHANGER L?EUROPE";00:19:42
"DEFENDRE LES ENFANTS";00:02:05
"DEMOCRATIE REPRESENTATIVE";00:02:00
"ÉCOLOGIE AU CENTRE";00:34:41
"ECOLOGIE POSITIVE ET TERRITOIRES";00:04:20
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:03:36
"ESPERANTO LANGUE COMMUNE";00:03:09
"EUROPE ECOLOGIE";03:17:46
"EUROPE TERRITOIRES ÉCOLOGIE";00:21:01
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:02:10
"FRANCE LIBRE";00:05:54
"FREE PALESTINE";00:02:00
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";01:09:32
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";03:46:20
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";02:01:45
"LA FRANCE INSOUMISE - UNION POPULAIRE";04:31:06
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";10:59:14
"LA RUCHE CITOYENNE";00:02:34
"LIBERTE DEMOCRATIQUE FRANCAISE";00:01:59
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:20:44
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:12:21
"L?EUROPE ÇA SUFFIT!";00:18:06
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL";00:02:21
"NON! PRENONS-NOUS EN MAINS";00:02:07
"NOUS LE PEUPLE";00:02:11
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:02:20
"PAIX ET DECROISSANCE";00:02:00
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:35:22
"PARTI PIRATE";00:03:09
"PARTI REVOLUTIONNAIRE COMMUNISTES";00:02:22
"POUR LE PAIN, LA PAIX, LA LIBERTE!» PRESENTEE PAR LE PARTI DES TRAVAILLEURS";00:02:12
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:12:29
"POUR UNE AUTRE EUROPE";00:02:00
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:02:24
"POUR UNE HUMANITE SOUVERAINE";00:02:01
"REVEILLER L?EUROPE";04:11:10
"Total des temps de parole";42:01:53

"Président de la République";"Total période (durée)"
"Temps de parole";02:23:26
