
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur France2

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:19:06
"BESOIN D?EUROPE";01:52:05
"CHANGER L?EUROPE";00:15:51
"DEFENDRE LES ENFANTS";00:00:32
"DEMOCRATIE REPRESENTATIVE";00:00:29
"ÉCOLOGIE AU CENTRE";00:08:36
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:11
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:00:22
"ESPERANTO LANGUE COMMUNE";00:00:30
"EUROPE ECOLOGIE";01:06:12
"EUROPE TERRITOIRES ÉCOLOGIE";00:16:06
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:00:04
"FRANCE LIBRE";00:00:16
"FREE PALESTINE";00:00:31
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:46:12
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";01:25:10
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:59:42
"LA FRANCE INSOUMISE - UNION POPULAIRE";01:11:29
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";01:55:11
"LA RUCHE CITOYENNE";00:00:37
"LIBERTE DEMOCRATIQUE FRANCAISE";00:00:26
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:08:05
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:08:35
"L?EUROPE ÇA SUFFIT!";00:08:50
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL";00:00:37
"NON! PRENONS-NOUS EN MAINS";00:00:19
"NOUS LE PEUPLE";00:00:22
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:15
"PAIX ET DECROISSANCE";00:00:46
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:17:03
"PARTI PIRATE";00:00:17
"PARTI REVOLUTIONNAIRE COMMUNISTES";00:00:36
"POUR LE PAIN, LA PAIX, LA LIBERTE!» PRESENTEE PAR LE PARTI DES TRAVAILLEURS";00:00:28
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:00:15
"POUR UNE AUTRE EUROPE";00:00:12
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:00:37
"POUR UNE HUMANITE SOUVERAINE";00:00:28
"REVEILLER L?EUROPE";01:41:15
"Total des temps de parole";12:48:38

"Président de la République";"Total période (durée)"
"Temps de parole";00:13:02
