
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur RFI

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:02:35
"BESOIN D?EUROPE";01:00:21
"CHANGER L?EUROPE";00:03:18
"DEFENDRE LES ENFANTS";00:01:54
"DEMOCRATIE REPRESENTATIVE";00:01:50
"ÉCOLOGIE AU CENTRE";00:02:44
"ECOLOGIE POSITIVE ET TERRITOIRES";00:02:02
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:02:00
"ESPERANTO LANGUE COMMUNE";00:01:59
"EUROPE ECOLOGIE";00:33:51
"EUROPE TERRITOIRES ÉCOLOGIE";00:00:29
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:02:03
"FRANCE LIBRE";00:00:22
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:14:14
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:34:15
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:17:55
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:40:22
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";01:13:43
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:10:00
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:02:33
"L?EUROPE ÇA SUFFIT!";00:04:06
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL";00:01:48
"NON! PRENONS-NOUS EN MAINS";00:02:00
"NOUS LE PEUPLE";00:01:59
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:01:55
"PAIX ET DECROISSANCE";00:02:03
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:04:36
"PARTI PIRATE";00:01:58
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:01:24
"POUR UNE AUTRE EUROPE";00:01:57
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:01:59
"REVEILLER L?EUROPE";00:46:21
"Total des temps de parole";06:20:36

"Président de la République";"Total période (durée)"
"Temps de parole";00:07:24
