
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur France24

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:01:42
"BESOIN D?EUROPE";00:22:27
"CHANGER L?EUROPE";00:01:37
"DEFENDRE LES ENFANTS";00:00:31
"ÉCOLOGIE AU CENTRE";00:03:32
"ESPERANTO LANGUE COMMUNE";00:00:29
"EUROPE ECOLOGIE";00:27:38
"EUROPE TERRITOIRES ÉCOLOGIE";00:02:48
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:23:34
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:30:23
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:07:34
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:39:09
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";01:53:08
"LA RUCHE CITOYENNE";00:00:34
"LIBERTE DEMOCRATIQUE FRANCAISE";00:00:26
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:01:33
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:03:38
"L?EUROPE ÇA SUFFIT!";00:03:04
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:22
"PAIX ET DECROISSANCE";00:00:44
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:01:31
"PARTI PIRATE";00:00:34
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:00:18
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:00:37
"REVEILLER L?EUROPE";00:43:54
"Total des temps de parole";05:31:47

"Président de la République";"Total période (durée)"
"Temps de parole";02:15:54
