
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur FranceInter

"Listes candidates";"Total période (durée)"
"ALLIANCE CENTRISTE ET TERRITOIRES EN MOUVEMENT";00:00:44
"ALLIANCE RURALE";00:13:30
"BESOIN D?EUROPE";02:28:09
"CHANGER L?EUROPE";00:14:53
"DEFENDRE LES ENFANTS";00:00:42
"DEMOCRATIE REPRESENTATIVE";00:00:42
"ÉCOLOGIE AU CENTRE";00:09:32
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:44
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:00:45
"ESPERANTO LANGUE COMMUNE";00:00:28
"EUROPE ECOLOGIE";00:53:17
"EUROPE EQUITABLE";00:01:22
"EUROPE TERRITOIRES ÉCOLOGIE";00:10:34
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:00:38
"FRANCE LIBRE";00:00:35
"FREE PALESTINE";00:01:34
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:18:51
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:53:21
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:20:23
"LA FRANCE INSOUMISE - UNION POPULAIRE";01:11:08
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";02:29:04
"LA RUCHE CITOYENNE";00:00:44
"LIBERTE DEMOCRATIQUE FRANCAISE";00:00:45
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:09:06
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:10:42
"L?EUROPE ÇA SUFFIT!";00:11:00
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL";00:00:42
"NON! PRENONS-NOUS EN MAINS";00:00:33
"NOUS LE PEUPLE";00:00:53
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:52
"PAIX ET DECROISSANCE";00:00:51
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:10:33
"PARTI PIRATE";00:00:36
"PARTI REVOLUTIONNAIRE COMMUNISTES";00:00:39
"POUR LE PAIN, LA PAIX, LA LIBERTE!» PRESENTEE PAR LE PARTI DES TRAVAILLEURS";00:00:42
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:00:44
"POUR UNE AUTRE EUROPE";00:00:51
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:00:48
"POUR UNE HUMANITE SOUVERAINE";00:00:51
"REVEILLER L?EUROPE";01:03:08
"Total des temps de parole";11:25:56

"Président de la République";"Total période (durée)"
"Temps de parole";00:09:20
