
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur LCI

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:16:01
"BESOIN D?EUROPE";04:34:58
"CHANGER L?EUROPE";00:01:18
"DEFENDRE LES ENFANTS";00:00:41
"DEMOCRATIE REPRESENTATIVE";00:00:23
"ÉCOLOGIE AU CENTRE";00:04:10
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:39
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:00:38
"ESPERANTO LANGUE COMMUNE";00:00:30
"EUROPE ECOLOGIE";02:42:14
"EUROPE TERRITOIRES ÉCOLOGIE";00:01:02
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:00:37
"FRANCE LIBRE";00:00:18
"FREE PALESTINE";00:00:30
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";01:26:04
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";02:53:38
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";01:56:30
"LA FRANCE INSOUMISE - UNION POPULAIRE";02:31:42
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";08:13:19
"LA RUCHE CITOYENNE";00:01:29
"LIBERTE DEMOCRATIQUE FRANCAISE";00:00:43
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:11:46
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:01:55
"L?EUROPE ÇA SUFFIT!";00:07:07
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL";00:00:30
"NON! PRENONS-NOUS EN MAINS";00:00:15
"NOUS LE PEUPLE";00:00:31
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:46
"PAIX ET DECROISSANCE";00:00:33
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:28:13
"PARTI PIRATE";00:00:32
"PARTI REVOLUTIONNAIRE COMMUNISTES";00:00:37
"POUR LE PAIN, LA PAIX, LA LIBERTE!» PRESENTEE PAR LE PARTI DES TRAVAILLEURS";00:01:18
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:01:36
"POUR UNE AUTRE EUROPE";00:00:54
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:01:50
"POUR UNE HUMANITE SOUVERAINE";00:00:31
"REVEILLER L?EUROPE";03:25:35
"Total des temps de parole";29:11:53

"Président de la République";"Total période (durée)"
"Temps de parole";02:18:46
