
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur M6

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:00:10
"BESOIN D?EUROPE";00:02:42
"CHANGER L?EUROPE";00:00:08
"DEFENDRE LES ENFANTS";00:00:12
"ÉCOLOGIE AU CENTRE";00:00:30
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:00:10
"ESPERANTO LANGUE COMMUNE";00:00:10
"EUROPE ECOLOGIE";00:01:15
"EUROPE TERRITOIRES ÉCOLOGIE";00:00:11
"FREE PALESTINE";00:00:12
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:00:22
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:01:11
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:00:28
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:01:20
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";00:02:54
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:00:11
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:00:17
"L?EUROPE ÇA SUFFIT!";00:00:10
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:00:15
"PARTI PIRATE";00:00:12
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:00:11
"REVEILLER L?EUROPE";00:01:24
"Total des temps de parole";00:14:35

"Président de la République";"Total période (durée)"
"Temps de parole";00:01:03
