
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur RMC

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:07:06
"BESOIN D?EUROPE";02:16:28
"CHANGER L?EUROPE";00:06:52
"DEFENDRE LES ENFANTS";00:00:20
"DEMOCRATIE REPRESENTATIVE";00:00:20
"ÉCOLOGIE AU CENTRE";00:12:24
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:10
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:00:21
"ESPERANTO LANGUE COMMUNE";00:00:21
"EUROPE ECOLOGIE";00:33:50
"EUROPE TERRITOIRES ÉCOLOGIE";00:07:20
"FRANCE LIBRE";00:00:34
"FREE PALESTINE";00:00:10
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:19:37
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:40:03
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:18:56
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:53:35
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";02:22:16
"LA RUCHE CITOYENNE";00:00:20
"LIBERTE DEMOCRATIQUE FRANCAISE";00:00:20
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:06:34
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:04:24
"L?EUROPE ÇA SUFFIT!";00:06:00
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL";00:00:20
"NON! PRENONS-NOUS EN MAINS";00:00:20
"NOUS LE PEUPLE";00:00:21
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:18
"PAIX ET DECROISSANCE";00:00:20
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:14:25
"PARTI PIRATE";00:00:16
"PARTI REVOLUTIONNAIRE COMMUNISTES";00:00:20
"POUR LE PAIN, LA PAIX, LA LIBERTE!» PRESENTEE PAR LE PARTI DES TRAVAILLEURS";00:00:20
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:04:00
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:00:19
"POUR UNE HUMANITE SOUVERAINE";00:00:20
"REVEILLER L?EUROPE";00:47:15
"Total des temps de parole";09:27:15

"Président de la République";"Total période (durée)"
"Temps de parole";00:06:45
