
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur RTL

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:00:32
"BESOIN D?EUROPE";02:22:14
"CHANGER L?EUROPE";00:00:24
"ÉCOLOGIE AU CENTRE";00:00:21
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:13
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:00:32
"ESPERANTO LANGUE COMMUNE";00:00:46
"EUROPE ECOLOGIE";00:43:22
"EUROPE TERRITOIRES ÉCOLOGIE";00:00:45
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:00:26
"FRANCE LIBRE";00:01:13
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:27:11
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:46:22
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:27:01
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:49:17
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";01:57:41
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:00:49
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:01:46
"L?EUROPE ÇA SUFFIT!";00:00:24
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:02:04
"PARTI PIRATE";00:00:27
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:01:07
"REVEILLER L?EUROPE";00:40:22
"Total des temps de parole";08:25:19

"Président de la République";"Total période (durée)"
"Temps de parole";00:15:01
