
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur SudRadio

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:07:32
"BESOIN D?EUROPE";02:04:19
"CHANGER L?EUROPE";00:07:00
"DEFENDRE LES ENFANTS";00:01:30
"ÉCOLOGIE AU CENTRE";00:07:00
"ECOLOGIE POSITIVE ET TERRITOIRES";00:01:26
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:01:30
"EUROPE ECOLOGIE";00:29:00
"EUROPE TERRITOIRES ÉCOLOGIE";00:07:00
"FRANCE LIBRE";00:04:00
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:10:35
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:40:45
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:17:00
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:53:14
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";01:54:20
"LA RUCHE CITOYENNE";00:00:30
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:13:00
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:04:52
"L?EUROPE ÇA SUFFIT!";00:13:00
"NOUS LE PEUPLE";00:05:00
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:07:00
"PARTI PIRATE";00:01:16
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:01:20
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:01:30
"REVEILLER L?EUROPE";00:48:23
"Total des temps de parole";08:42:02

"Président de la République";"Total période (durée)"
"Temps de parole";00:04:39
