
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur franceinfo:

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:19:56
"BESOIN D?EUROPE";05:30:38
"CHANGER L?EUROPE";00:09:28
"DEFENDRE LES ENFANTS";00:01:02
"DEMOCRATIE REPRESENTATIVE";00:00:22
"ÉCOLOGIE AU CENTRE";00:01:09
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:56
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:00:27
"ESPERANTO LANGUE COMMUNE";00:00:20
"EUROPE ECOLOGIE";03:12:39
"EUROPE EQUITABLE";00:06:47
"EUROPE TERRITOIRES ÉCOLOGIE";00:36:39
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:01:10
"FRANCE LIBRE";00:01:05
"FREE PALESTINE";00:00:11
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";01:44:53
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";03:23:50
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";01:43:25
"LA FRANCE INSOUMISE - UNION POPULAIRE";03:23:20
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";06:18:34
"LA RUCHE CITOYENNE";00:02:53
"LIBERTE DEMOCRATIQUE FRANCAISE";00:01:55
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:09:09
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:25:11
"L?EUROPE ÇA SUFFIT!";00:29:56
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL";00:01:47
"NON! PRENONS-NOUS EN MAINS";00:01:51
"NOUS LE PEUPLE";00:00:29
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:01:08
"PAIX ET DECROISSANCE";00:03:37
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:29:18
"PARTI PIRATE";00:01:39
"PARTI REVOLUTIONNAIRE COMMUNISTES";00:01:39
"POUR LE PAIN, LA PAIX, LA LIBERTE!» PRESENTEE PAR LE PARTI DES TRAVAILLEURS";00:01:20
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:00:43
"POUR UNE AUTRE EUROPE";00:01:34
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:02:22
"POUR UNE HUMANITE SOUVERAINE";00:00:21
"REVEILLER L?EUROPE";04:31:27
"Total des temps de parole";33:05:10

"Président de la République";"Total période (durée)"
"Temps de parole";02:39:27
