
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur BFMTV

"Partis politiques";"Total période (durée)"
"Divers Centre";00:22:11
"Divers Droite";01:21:29
"Divers Gauche";00:13:29
Génération.s;00:10:59
Horizons;00:52:01
"La France insoumise";05:04:51
"Les Ecologistes";01:53:40
"Les Républicains";05:33:50
"Mouvement démocrate";00:24:03
"Nouveau parti anticapitaliste";00:21:08
"Parti communiste français";01:36:39
"Parti socialiste";05:17:21
"Place publique";00:08:31
"Rassemblement national";07:09:07
Reconquête;00:44:16
Renaissance;06:30:37
"Union des démocrates et indépendants";00:10:17
"Total des temps de parole";37:54:29

"Président de la République";"Total période (durée)"
"Temps de parole";02:38:44
