
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur Cnews

"Partis politiques";"Total période (durée)"
"Debout la France";00:14:27
"Divers Centre";00:11:10
"Divers Gauche";00:01:40
Horizons;00:11:57
"La France insoumise";01:04:01
"Les Ecologistes";00:18:40
"Les Républicains";03:09:39
"Parti communiste français";00:26:44
"Parti socialiste";00:50:40
"Place publique";00:10:55
"Rassemblement national";02:26:47
Reconquête;00:51:20
Renaissance;03:23:13
"Total des temps de parole";13:21:13

"Président de la République";"Total période (durée)"
"Temps de parole";01:31:05
