
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur Europe1

"Partis politiques";"Total période (durée)"
"Debout la France";00:12:47
"Divers Centre";00:07:49
Horizons;00:01:42
"La France insoumise";00:43:25
"Les Ecologistes";00:06:11
"Les Républicains";03:05:17
"Parti communiste français";00:05:01
"Parti socialiste";00:14:59
"Place publique";00:03:24
"Rassemblement national";01:24:02
Reconquête;00:09:29
Renaissance;02:12:15
"Union des démocrates et indépendants";00:00:11
"Total des temps de parole";08:26:32

"Président de la République";"Total période (durée)"
"Temps de parole";00:15:31
