
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur France24

"Partis politiques";"Total période (durée)"
Horizons;00:01:11
"La France insoumise";00:33:58
"Les Ecologistes";00:18:15
"Les Républicains";01:02:30
"Mouvement démocrate";00:04:22
"Parti communiste français";00:06:05
"Parti socialiste";00:28:39
"Place publique";00:00:54
"Rassemblement national";00:29:21
Reconquête;00:10:39
Renaissance;00:12:51
"Total des temps de parole";03:28:45

"Président de la République";"Total période (durée)"
"Temps de parole";01:35:56
