
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur FranceCulture

"Partis politiques";"Total période (durée)"
"Divers Droite";00:00:01
Horizons;00:00:13
"La France insoumise";00:05:14
"Les Ecologistes";00:00:49
"Les Républicains";00:03:00
"Mouvement démocrate";00:00:25
"Parti communiste français";00:00:18
"Parti socialiste";00:16:20
"Place publique";00:00:26
"Rassemblement national";00:32:42
Reconquête;00:01:22
Renaissance;00:03:14
"Total des temps de parole";01:04:04

"Président de la République";"Total période (durée)"
"Temps de parole";00:03:13
