
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur FranceInfo

"Partis politiques";"Total période (durée)"
Agir;00:06:07
"Divers Centre";00:21:09
"Fédération progressiste";00:33:45
Horizons;00:12:15
"La France insoumise";01:55:43
"Les Centristes";00:03:35
"Les Ecologistes";00:55:00
"Les Républicains";02:41:51
"Mouvement démocrate";00:12:26
"Parti communiste français";00:53:40
"Parti socialiste";01:13:49
"Place publique";00:01:27
"Rassemblement national";02:48:10
Reconquête;00:05:14
Renaissance;02:15:09
"Union des démocrates et indépendants";00:06:02
"Total des temps de parole";14:25:22

"Président de la République";"Total période (durée)"
"Temps de parole";01:01:37
