
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur FranceInter

"Partis politiques";"Total période (durée)"
Horizons;00:03:35
"La France insoumise";00:16:36
"Les Ecologistes";00:14:26
"Les Républicains";00:23:13
"Mouvement démocrate";00:16:01
"Parti communiste français";00:03:38
"Parti socialiste";00:20:35
"Place publique";00:20:30
"Rassemblement national";00:28:13
Reconquête;00:01:46
Renaissance;00:56:51
"Total des temps de parole";03:25:24

"Président de la République";"Total période (durée)"
"Temps de parole";00:07:49
