
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur LCI

"Partis politiques";"Total période (durée)"
"Divers Centre";00:49:08
"Divers Droite";01:12:12
"Divers Gauche";00:03:52
Génération.s;00:18:14
Horizons;01:33:24
"La France insoumise";04:20:28
"Les Ecologistes";01:06:56
"Les Républicains";06:06:02
"Mouvement démocrate";01:25:16
"Parti communiste français";00:30:16
"Parti socialiste";02:23:12
"Place publique";00:08:28
"Rassemblement national";08:45:06
Reconquête;00:25:31
Renaissance;03:30:46
"Total des temps de parole";32:38:51

"Président de la République";"Total période (durée)"
"Temps de parole";01:54:46
