
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur RFI

"Partis politiques";"Total période (durée)"
Horizons;00:08:00
"La France insoumise";00:11:15
"Les Ecologistes";00:12:05
"Les Républicains";00:27:40
"Mouvement démocrate";00:00:47
"Parti communiste français";00:01:45
"Parti socialiste";00:13:20
"Rassemblement national";00:22:49
Reconquête;00:03:14
Renaissance;00:11:32
"Total des temps de parole";01:52:27

"Président de la République";"Total période (durée)"
"Temps de parole";00:06:28
