
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur RMC Story

"Partis politiques";"Total période (durée)"
Horizons;00:00:45
"La France insoumise";00:19:27
"Les Ecologistes";00:00:25
"Les Républicains";00:21:38
"Mouvement démocrate";00:06:30
"Parti communiste français";00:01:00
"Parti socialiste";00:11:49
"Place publique";00:00:26
"Rassemblement national";00:21:16
Reconquête;00:01:33
Renaissance;00:08:25
"Total des temps de parole";01:33:14

"Président de la République";"Total période (durée)"
"Temps de parole";00:03:59
