
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur RMC

"Partis politiques";"Total période (durée)"
Horizons;00:01:30
"La France insoumise";00:34:19
"Les Ecologistes";00:01:35
"Les Républicains";00:48:04
"Mouvement démocrate";00:21:44
"Parti communiste français";00:10:12
"Parti socialiste";00:32:49
"Place publique";00:00:52
"Rassemblement national";01:18:55
Reconquête;00:01:36
Renaissance;01:08:53
"Total des temps de parole";05:00:29

"Président de la République";"Total période (durée)"
"Temps de parole";00:07:20
