
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur RTL

"Partis politiques";"Total période (durée)"
"Divers Centre";00:15:22
"Divers Droite";00:21:51
"Divers Gauche";00:06:36
Horizons;00:14:13
"La France insoumise";00:42:07
"Les Ecologistes";00:11:00
"Les Républicains";01:05:43
"Parti communiste français";00:11:55
"Parti socialiste";00:11:59
"Rassemblement national";00:56:56
Reconquête;00:01:29
Renaissance;00:59:07
"Total des temps de parole";05:18:18

"Président de la République";"Total période (durée)"
"Temps de parole";00:10:24
