
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur SudRadio

"Partis politiques";"Total période (durée)"
"Divers Droite";00:05:50
"Divers Gauche";00:03:00
Horizons;00:02:30
"La France insoumise";00:28:42
"Les Ecologistes";00:01:16
"Les Républicains";00:09:44
"Mouvement démocrate";00:20:30
"Parti communiste français";00:00:40
"Parti socialiste";00:08:44
"Rassemblement national";00:30:40
Reconquête;00:01:30
Renaissance;00:22:57
"Total des temps de parole";02:16:03

"Président de la République";"Total période (durée)"
"Temps de parole";00:01:07
