
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur TF1

"Partis politiques";"Total période (durée)"
EQUINOXE;00:00:06
Horizons;00:00:29
"La France insoumise";00:04:20
"Les Ecologistes";00:04:56
"Les Républicains";00:25:47
"Mouvement démocrate";00:00:24
"Parti communiste français";00:03:22
"Parti socialiste";00:17:20
"Place publique";00:00:31
"Rassemblement national";00:25:32
Reconquête;00:00:23
Renaissance;00:25:38
RESISTONS;00:00:05
"Union des démocrates et indépendants";00:00:10
"Total des temps de parole";01:49:03

"Président de la République";"Total période (durée)"
"Temps de parole";00:01:46
