
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur TMC

"Partis politiques";"Total période (durée)"
Horizons;00:00:04
"La France insoumise";00:14:53
"Les Ecologistes";00:01:34
"Les Républicains";00:15:51
"Mouvement démocrate";00:00:08
"Parti communiste français";00:00:45
"Parti socialiste";00:00:52
"Place publique";00:00:51
"Rassemblement national";00:31:53
Reconquête;00:03:57
Renaissance;00:38:00
"Territoires de progrès";00:00:16
"Total des temps de parole";01:49:04

"Président de la République";"Total période (durée)"
"Temps de parole";00:02:05
