
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur franceinfo:

"Partis politiques";"Total période (durée)"
"Divers Centre";00:00:53
"Divers Droite";00:11:53
"Fédération progressiste";00:00:41
Horizons;01:20:42
"La France insoumise";03:37:52
"Les Ecologistes";01:00:36
"Les Républicains";04:29:17
"Mouvement démocrate";00:23:47
"Parti communiste français";00:25:37
"Parti socialiste";02:05:23
"Place publique";00:14:16
"Rassemblement national";03:49:56
Reconquête;00:23:54
Renaissance;04:07:57
"Union des démocrates et indépendants";00:09:16
"Total des temps de parole";22:22:00

"Président de la République";"Total période (durée)"
"Temps de parole";01:58:58
