
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur C8

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:10:19
"BESOIN D?EUROPE";02:47:16
"CHANGER L?EUROPE";00:02:35
"ÉCOLOGIE AU CENTRE";00:06:33
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:42
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:03:43
"EUROPE ECOLOGIE";00:56:40
"EUROPE TERRITOIRES ÉCOLOGIE";00:02:50
"FRANCE LIBRE";00:00:51
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:24:30
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";01:02:48
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:47:55
"LA FRANCE INSOUMISE - UNION POPULAIRE";01:24:32
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";02:38:07
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:09:36
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:10:14
"L?EUROPE ÇA SUFFIT!";00:10:00
"NOUS LE PEUPLE";00:00:34
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:34
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:10:02
"PARTI PIRATE";00:03:29
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:03:04
"REVEILLER L?EUROPE";01:18:52
"Total des temps de parole";12:35:46

"Président de la République";"Total période (durée)"
"Temps de parole";00:00:56
