
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur Cnews

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:16:15
"BESOIN D?EUROPE";04:18:16
"DEFENDRE LES ENFANTS";00:00:58
"DEMOCRATIE REPRESENTATIVE";00:00:52
"ÉCOLOGIE AU CENTRE";00:12:15
"ECOLOGIE POSITIVE ET TERRITOIRES";00:04:35
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:04:28
"ESPERANTO LANGUE COMMUNE";00:05:21
"EUROPE ECOLOGIE";01:49:28
"EUROPE TERRITOIRES ÉCOLOGIE";00:06:18
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:00:55
"FRANCE LIBRE";00:01:01
"FREE PALESTINE";00:00:39
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";01:18:32
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";02:24:45
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";01:39:43
"LA FRANCE INSOUMISE - UNION POPULAIRE";03:01:38
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";06:17:30
"LA RUCHE CITOYENNE";00:01:04
"LIBERTE DEMOCRATIQUE FRANCAISE";00:01:04
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:14:35
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:14:19
"L?EUROPE ÇA SUFFIT!";00:14:57
"NON! PRENONS-NOUS EN MAINS";00:01:02
"NOUS LE PEUPLE";00:05:41
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:59
"PAIX ET DECROISSANCE";00:00:58
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:15:48
"PARTI PIRATE";00:04:24
"POUR LE PAIN, LA PAIX, LA LIBERTE!» PRESENTEE PAR LE PARTI DES TRAVAILLEURS";00:00:50
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:04:38
"POUR UNE AUTRE EUROPE";00:01:00
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:01:22
"POUR UNE HUMANITE SOUVERAINE";00:00:58
"REVEILLER L?EUROPE";03:12:09
"Total des temps de parole";26:19:17

"Président de la République";"Total période (durée)"
"Temps de parole";00:01:43
