
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur Europe1

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:03:29
"BESOIN D?EUROPE";04:29:22
"CHANGER L?EUROPE";00:05:18
"DEFENDRE LES ENFANTS";00:00:33
"ÉCOLOGIE AU CENTRE";00:03:00
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:34
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:00:28
"ESPERANTO LANGUE COMMUNE";00:00:35
"EUROPE ECOLOGIE";01:03:19
"EUROPE TERRITOIRES ÉCOLOGIE";00:11:48
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:00:39
"FRANCE LIBRE";00:00:27
"FREE PALESTINE";00:00:35
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";01:13:59
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";02:17:37
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";01:45:21
"LA FRANCE INSOUMISE - UNION POPULAIRE";02:31:30
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";04:38:42
"LA RUCHE CITOYENNE";00:00:33
"LIBERTE DEMOCRATIQUE FRANCAISE";00:00:29
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:14:36
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:13:37
"L?EUROPE ÇA SUFFIT!";00:05:03
"NOUS LE PEUPLE";00:00:32
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:01:52
"PARTI PIRATE";00:00:31
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:02:51
"REVEILLER L?EUROPE";01:14:44
"Total des temps de parole";20:22:04

"Président de la République";"Total période (durée)"
"Temps de parole";00:21:48
