
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur France5

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:03:26
"BESOIN D?EUROPE";01:39:55
"CHANGER L?EUROPE";00:02:22
"DEFENDRE LES ENFANTS";00:00:55
"DEMOCRATIE REPRESENTATIVE";00:00:08
"ÉCOLOGIE AU CENTRE";00:01:12
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:55
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:01:02
"ESPERANTO LANGUE COMMUNE";00:00:44
"EUROPE ECOLOGIE";00:35:54
"EUROPE TERRITOIRES ÉCOLOGIE";00:02:34
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:00:07
"FRANCE LIBRE";00:00:06
"FREE PALESTINE";00:00:05
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:15:25
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:39:56
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:23:25
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:39:27
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";02:37:37
"LA RUCHE CITOYENNE";00:00:43
"LIBERTE DEMOCRATIQUE FRANCAISE";00:00:54
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:03:07
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:02:44
"L?EUROPE ÇA SUFFIT!";00:02:20
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL";00:00:09
"NON! PRENONS-NOUS EN MAINS";00:00:05
"NOUS LE PEUPLE";00:00:42
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:07
"PAIX ET DECROISSANCE";00:00:07
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:02:31
"PARTI PIRATE";00:00:04
"PARTI REVOLUTIONNAIRE COMMUNISTES";00:00:05
"POUR LE PAIN, LA PAIX, LA LIBERTE!» PRESENTEE PAR LE PARTI DES TRAVAILLEURS";00:00:06
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:00:10
"POUR UNE AUTRE EUROPE";00:00:04
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:00:59
"POUR UNE HUMANITE SOUVERAINE";00:00:05
"REVEILLER L?EUROPE";00:58:57
"Total des temps de parole";08:19:14

"Président de la République";"Total période (durée)"
"Temps de parole";00:10:53
