
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur FranceCulture

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:00:28
"BESOIN D?EUROPE";00:24:36
"CHANGER L?EUROPE";00:00:32
"DEMOCRATIE REPRESENTATIVE";00:00:17
"ÉCOLOGIE AU CENTRE";00:00:14
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:13
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:00:15
"ESPERANTO LANGUE COMMUNE";00:00:17
"EUROPE ECOLOGIE";00:13:31
"EUROPE TERRITOIRES ÉCOLOGIE";00:00:21
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:00:27
"FRANCE LIBRE";00:00:20
"FREE PALESTINE";00:00:27
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:03:18
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:12:24
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:01:30
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:21:39
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";00:24:27
"LIBERTE DEMOCRATIQUE FRANCAISE";00:00:16
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:00:18
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:00:20
"L?EUROPE ÇA SUFFIT!";00:00:23
"NON! PRENONS-NOUS EN MAINS";00:00:24
"NOUS LE PEUPLE";00:00:16
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:13
"PAIX ET DECROISSANCE";00:00:15
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:00:39
"PARTI PIRATE";00:00:11
"POUR LE PAIN, LA PAIX, LA LIBERTE!» PRESENTEE PAR LE PARTI DES TRAVAILLEURS";00:00:13
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:00:19
"POUR UNE HUMANITE SOUVERAINE";00:00:22
"REVEILLER L?EUROPE";00:12:13
"UNION DES CENTRISTES ET DES ECOLOGISTES";00:00:13
"Total des temps de parole";02:01:51

"Président de la République";"Total période (durée)"
"Temps de parole";00:08:17
