
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur FranceInfo

"Listes candidates";"Total période (durée)"
"ALLIANCE CENTRISTE ET TERRITOIRES EN MOUVEMENT";00:02:30
"ALLIANCE RURALE";00:04:21
"BESOIN D?EUROPE";03:40:49
"CHANGER L?EUROPE";00:28:46
"DEFENDRE LES ENFANTS";00:00:38
"ÉCOLOGIE AU CENTRE";00:02:30
"ECOLOGIE POSITIVE ET TERRITOIRES";00:03:18
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:02:43
"EUROPE ECOLOGIE";01:36:45
"EUROPE TERRITOIRES ÉCOLOGIE";00:12:22
"FRANCE LIBRE";00:00:35
"FREE PALESTINE";00:02:20
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:46:17
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";02:18:00
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:26:51
"LA FRANCE INSOUMISE - UNION POPULAIRE";02:22:54
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";03:59:28
"LA RUCHE CITOYENNE";00:00:44
"LIBERTE DEMOCRATIQUE FRANCAISE";00:00:45
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:01:36
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:06:44
"L?EUROPE ÇA SUFFIT!";00:06:26
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL";00:00:41
"NOUS LE PEUPLE";00:00:44
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:42
"PAIX ET DECROISSANCE";00:00:41
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:03:07
"PARTI PIRATE";00:03:56
"PARTI REVOLUTIONNAIRE COMMUNISTES";00:00:40
"POUR LE PAIN, LA PAIX, LA LIBERTE!» PRESENTEE PAR LE PARTI DES TRAVAILLEURS";00:00:42
"POUR UNE AUTRE EUROPE";00:00:28
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:00:48
"POUR UNE HUMANITE SOUVERAINE";00:00:51
"REVEILLER L?EUROPE";02:22:24
"Total des temps de parole";19:03:06

"Président de la République";"Total période (durée)"
"Temps de parole";00:58:55
