
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur RMC Story

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:00:20
"BESOIN D?EUROPE";00:07:23
"CHANGER L?EUROPE";00:00:20
"DEFENDRE LES ENFANTS";00:00:10
"ÉCOLOGIE AU CENTRE";00:00:24
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:10
"EUROPE ECOLOGIE";00:02:59
"EUROPE TERRITOIRES ÉCOLOGIE";00:00:20
"FRANCE LIBRE";00:00:17
"FREE PALESTINE";00:00:10
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:00:57
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:03:21
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:01:57
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:04:01
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";00:10:13
"LA RUCHE CITOYENNE";00:00:10
"LIBERTE DEMOCRATIQUE FRANCAISE";00:00:10
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:00:20
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:00:24
"L?EUROPE ÇA SUFFIT!";00:00:21
"NON! PRENONS-NOUS EN MAINS";00:00:10
"NOUS LE PEUPLE";00:00:10
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:09
"PAIX ET DECROISSANCE";00:00:10
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:00:30
"PARTI PIRATE";00:00:09
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:00:20
"POUR UNE HUMANITE SOUVERAINE";00:00:10
"REVEILLER L?EUROPE";00:03:33
"Total des temps de parole";00:39:48

"Président de la République";"Total période (durée)"
"Temps de parole";00:02:41
