
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur RadioClassique

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:00:09
"BESOIN D?EUROPE";00:04:49
"CHANGER L?EUROPE";00:00:26
"DEFENDRE LES ENFANTS";00:00:12
"DEMOCRATIE REPRESENTATIVE";00:00:18
"ÉCOLOGIE AU CENTRE";00:00:11
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:11
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:00:19
"ESPERANTO LANGUE COMMUNE";00:00:10
"EUROPE ECOLOGIE";00:02:31
"EUROPE TERRITOIRES ÉCOLOGIE";00:00:13
"FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE";00:00:15
"FRANCE LIBRE";00:00:10
"FREE PALESTINE";00:00:11
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:01:02
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:02:52
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:00:37
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:03:49
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";00:04:39
"LA RUCHE CITOYENNE";00:00:15
"LIBERTE DEMOCRATIQUE FRANCAISE";00:00:14
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:00:08
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:00:12
"L?EUROPE ÇA SUFFIT!";00:00:11
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL";00:00:13
"NON! PRENONS-NOUS EN MAINS";00:00:16
"NOUS LE PEUPLE";00:00:11
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:19
"PAIX ET DECROISSANCE";00:00:19
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:00:13
"PARTI PIRATE";00:00:27
"PARTI REVOLUTIONNAIRE COMMUNISTES";00:00:20
"POUR LE PAIN, LA PAIX, LA LIBERTE!» PRESENTEE PAR LE PARTI DES TRAVAILLEURS";00:00:12
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:00:11
"POUR UNE AUTRE EUROPE";00:00:13
"POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!";00:00:16
"POUR UNE HUMANITE SOUVERAINE";00:00:13
"REVEILLER L?EUROPE";00:02:20
"Total des temps de parole";00:29:47

"Président de la République";"Total période (durée)"
"Temps de parole";00:00:20
