
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur TF1

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:01:57
"BESOIN D?EUROPE";00:37:54
"CHANGER L?EUROPE";00:01:03
"ÉCOLOGIE AU CENTRE";00:01:45
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:56
"EUROPE ECOLOGIE";00:22:40
"EUROPE TERRITOIRES ÉCOLOGIE";00:00:58
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:10:21
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:22:44
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:14:29
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:19:49
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";01:00:34
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:01:30
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:01:03
"L?EUROPE ÇA SUFFIT!";00:01:01
"NOUS LE PEUPLE";00:00:30
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:02:58
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:01:03
"REVEILLER L?EUROPE";00:29:15
"Total des temps de parole";03:52:30

"Président de la République";"Total période (durée)"
"Temps de parole";00:09:53
