
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur TMC

"Listes candidates";"Total période (durée)"
"ALLIANCE RURALE";00:02:24
"BESOIN D?EUROPE";00:42:54
"CHANGER L?EUROPE";00:01:03
"ÉCOLOGIE AU CENTRE";00:02:16
"ECOLOGIE POSITIVE ET TERRITOIRES";00:00:34
"ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE";00:00:29
"EUROPE ECOLOGIE";00:21:00
"EUROPE TERRITOIRES ÉCOLOGIE";00:00:49
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:06:25
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:25:24
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:14:58
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:18:54
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";01:01:40
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX";00:01:43
"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS";00:01:13
"L?EUROPE ÇA SUFFIT!";00:01:01
"NOUS LE PEUPLE";00:00:24
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI";00:03:20
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:01:06
"REVEILLER L?EUROPE";00:25:29
"Total des temps de parole";03:53:06

"Président de la République";"Total période (durée)"
"Temps de parole";00:05:55
