
Elections européennes 2024
Période du 15 avril au 7 juin
Temps de parole sur TV5Monde

"Listes candidates";"Total période (durée)"
"BESOIN D?EUROPE";01:08:53
"EUROPE ECOLOGIE";00:31:25
"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL";00:07:06
"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE";00:33:32
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR";00:16:07
"LA FRANCE INSOUMISE - UNION POPULAIRE";00:32:36
"LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN";01:36:19
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!";00:00:10
"PARTI PIRATE";00:00:17
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!";00:00:09
"REVEILLER L?EUROPE";00:48:57
"Total des temps de parole";05:35:31

"Président de la République";"Total période (durée)"
"Temps de parole";00:01:39
