Listes candidates,Total période (durée),Nom du media,Type de media,Durée en seconde,Durée en minute,Temps total,Couleur,Taux temps de parole,Durée en heure
temps_president,00:04:30,BFMBusiness,radio,270,4.5,270,Macron parle,100.0,0.075
ALLIANCE RURALE,00:20:23,BFMTV,TV info continue,1223,20.383333333333333,159919,Autres,0.7647621608439272,0.3397222222222222
BESOIN D?EUROPE,07:55:17,BFMTV,TV info continue,28517,475.28333333333336,159919,Centriste et Liberaux,17.832152527216905,7.921388888888889
CHANGER L?EUROPE,00:19:42,BFMTV,TV info continue,1182,19.7,159919,Sociaux Democrate,0.7391241816169436,0.3283333333333333
DEFENDRE LES ENFANTS,00:02:05,BFMTV,TV info continue,125,2.0833333333333335,159919,Autres,0.07816457081397457,0.034722222222222224
DEMOCRATIE REPRESENTATIVE,00:02:00,BFMTV,TV info continue,120,2.0,159919,Autres,0.07503798798141559,0.03333333333333333
ÉCOLOGIE AU CENTRE,00:34:41,BFMTV,TV info continue,2081,34.68333333333333,159919,Ecologiste et Regionaliste,1.3012837749110486,0.5780555555555555
ECOLOGIE POSITIVE ET TERRITOIRES,00:04:20,BFMTV,TV info continue,260,4.333333333333333,159919,Ecologiste et Regionaliste,0.16258230729306714,0.07222222222222222
ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE,00:03:36,BFMTV,TV info continue,216,3.6,159919,Ecologiste et Regionaliste,0.13506837836654806,0.06
ESPERANTO LANGUE COMMUNE,00:03:09,BFMTV,TV info continue,189,3.15,159919,Autres,0.11818483107072955,0.0525
EUROPE ECOLOGIE,03:17:46,BFMTV,TV info continue,11866,197.76666666666668,159919,Ecologiste et Regionaliste,7.420006378228979,3.296111111111111
EUROPE TERRITOIRES ÉCOLOGIE,00:21:01,BFMTV,TV info continue,1261,21.016666666666666,159919,Sociaux Democrate,0.7885241903713754,0.3502777777777778
FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE,00:02:10,BFMTV,TV info continue,130,2.1666666666666665,159919,Extreme droite - Divers,0.08129115364653357,0.03611111111111111
FRANCE LIBRE,00:05:54,BFMTV,TV info continue,354,5.9,159919,Extreme droite - Divers,0.221362064545176,0.09833333333333333
FREE PALESTINE,00:02:00,BFMTV,TV info continue,120,2.0,159919,Autres,0.07503798798141559,0.03333333333333333
GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL,01:09:32,BFMTV,TV info continue,4172,69.53333333333333,159919,gauche radicale,2.6088207154872154,1.1588888888888889
LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE,03:46:20,BFMTV,TV info continue,13580,226.33333333333334,159919,Les conservateurs,8.491798973230198,3.772222222222222
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR",02:01:45,BFMTV,TV info continue,7305,121.75,159919,Extreme droite - Divers,4.567937518368674,2.029166666666667
LA FRANCE INSOUMISE - UNION POPULAIRE,04:31:06,BFMTV,TV info continue,16266,271.1,159919,gauche radicale,10.171399270880883,4.5183333333333335
LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN,10:59:14,BFMTV,TV info continue,39554,659.2333333333333,159919,Extreme droite - Divers,24.733771471807604,10.987222222222222
LA RUCHE CITOYENNE,00:02:34,BFMTV,TV info continue,154,2.566666666666667,159919,Autres,0.09629875124281667,0.042777777777777776
LIBERTE DEMOCRATIQUE FRANCAISE,00:01:59,BFMTV,TV info continue,119,1.9833333333333334,159919,Autres,0.07441267141490379,0.03305555555555555
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX",00:20:44,BFMTV,TV info continue,1244,20.733333333333334,159919,Autres,0.7778938087406749,0.34555555555555556
LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS,00:12:21,BFMTV,TV info continue,741,12.35,159919,gauche radicale,0.4633595757852413,0.20583333333333334
L?EUROPE ÇA SUFFIT!,00:18:06,BFMTV,TV info continue,1086,18.1,159919,Extreme droite - Divers,0.6790937912318111,0.3016666666666667
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL",00:02:21,BFMTV,TV info continue,141,2.35,159919,gauche radicale,0.08816963587816332,0.03916666666666667
NON! PRENONS-NOUS EN MAINS,00:02:07,BFMTV,TV info continue,127,2.1166666666666667,159919,Extreme droite - Divers,0.07941520394699816,0.035277777777777776
NOUS LE PEUPLE,00:02:11,BFMTV,TV info continue,131,2.183333333333333,159919,Autres,0.08191647021304535,0.03638888888888889
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!",00:02:20,BFMTV,TV info continue,140,2.3333333333333335,159919,Sociaux Democrate,0.08754431931165152,0.03888888888888889
PAIX ET DECROISSANCE,00:02:00,BFMTV,TV info continue,120,2.0,159919,Autres,0.07503798798141559,0.03333333333333333
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI",00:35:22,BFMTV,TV info continue,2122,35.36666666666667,159919,Autres,1.3269217541380325,0.5894444444444444
PARTI PIRATE,00:03:09,BFMTV,TV info continue,189,3.15,159919,Autres,0.11818483107072955,0.0525
PARTI REVOLUTIONNAIRE COMMUNISTES,00:02:22,BFMTV,TV info continue,142,2.3666666666666667,159919,gauche radicale,0.08879495244467511,0.03944444444444444
"POUR LE PAIN, LA PAIX, LA LIBERTE!ğ PRESENTEE PAR LE PARTI DES TRAVAILLEURS",00:02:12,BFMTV,TV info continue,132,2.2,159919,gauche radicale,0.08254178677955715,0.03666666666666667
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!",00:12:29,BFMTV,TV info continue,749,12.483333333333333,159919,gauche radicale,0.4683621083173357,0.20805555555555555
POUR UNE AUTRE EUROPE,00:02:00,BFMTV,TV info continue,120,2.0,159919,Autres,0.07503798798141559,0.03333333333333333
POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!,00:02:24,BFMTV,TV info continue,144,2.4,159919,Autres,0.0900455855776987,0.04
POUR UNE HUMANITE SOUVERAINE,00:02:01,BFMTV,TV info continue,121,2.0166666666666666,159919,Autres,0.0756633045479274,0.03361111111111111
REVEILLER L?EUROPE,04:11:10,BFMTV,TV info continue,15070,251.16666666666666,159919,Sociaux Democrate,9.423520657332775,4.186111111111111
temps_president,02:23:26,BFMTV,TV info continue,8606,143.43333333333334,159919,Macron parle,5.381474371400522,2.3905555555555558
ALLIANCE RURALE,00:10:19,C8,TV généraliste,619,10.316666666666666,45402,Autres,1.3633760627285143,0.17194444444444446
BESOIN D?EUROPE,02:47:16,C8,TV généraliste,10036,167.26666666666668,45402,Centriste et Liberaux,22.10475309457733,2.787777777777778
CHANGER L?EUROPE,00:02:35,C8,TV généraliste,155,2.5833333333333335,45402,Sociaux Democrate,0.34139465221796395,0.043055555555555555
