Partis politiques,Total période (durée),Nom du media,Type de media,Durée en seconde,Durée en minute,Temps total,Taux temps de parole,Durée en heure,proprio du media
La France insoumise,00:20:22,France3,TV généraliste,1222,20.366666666666667,3646,33.51618211738892,0.33944444444444444,France Télévisions
Les Ecologistes,00:00:27,France3,TV généraliste,27,0.45,3646,0.7405375754251234,0.0075,France Télévisions
Les Républicains,00:00:20,France3,TV généraliste,20,0.3333333333333333,3646,0.5485463521667581,0.005555555555555556,France Télévisions
Parti communiste français,00:00:09,France3,TV généraliste,9,0.15,3646,0.24684585847504115,0.0025,France Télévisions
Parti socialiste,00:00:16,France3,TV généraliste,16,0.26666666666666666,3646,0.4388370817334065,0.0044444444444444444,France Télévisions
temps_president,00:39:12,France3,TV généraliste,2352,39.2,3646,64.50905101481075,0.6533333333333333,France Télévisions
La France insoumise,00:01:27,C8,TV généraliste,87,1.45,8243,1.055440980225646,0.024166666666666666,canal+
Les Républicains,00:24:33,C8,TV généraliste,1473,24.55,8243,17.86970763071697,0.4091666666666667,canal+
Place publique,00:00:44,C8,TV généraliste,44,0.7333333333333333,8243,0.5337862428727405,0.012222222222222223,canal+
Rassemblement national,00:23:50,C8,TV généraliste,1430,23.833333333333332,8243,17.348052893364066,0.3972222222222222,canal+
Reconquête,00:11:38,C8,TV généraliste,698,11.633333333333333,8243,8.467790852844837,0.1938888888888889,canal+
Renaissance,01:13:51,C8,TV généraliste,4431,73.85,8243,53.75470095838894,1.2308333333333332,canal+
temps_president,00:01:20,C8,TV généraliste,80,1.3333333333333333,8243,0.9705204415868008,0.022222222222222223,canal+
La France insoumise,00:00:55,TV5Monde,inconnu,55,0.9166666666666666,533,10.318949343339586,0.015277777777777777,France Télévisions
Les Ecologistes,00:00:33,TV5Monde,inconnu,33,0.55,533,6.191369606003752,0.009166666666666667,France Télévisions
LES REPUBLICAINS,00:02:48,TV5Monde,inconnu,168,2.8,533,31.51969981238274,0.04666666666666667,France Télévisions
PARTI COMMUNISTE,00:00:22,TV5Monde,inconnu,22,0.36666666666666664,533,4.127579737335835,0.006111111111111111,France Télévisions
PARTI SOCIALISTE,00:01:13,TV5Monde,inconnu,73,1.2166666666666666,533,13.696060037523452,0.020277777777777777,France Télévisions
Rassemblement national,00:01:39,TV5Monde,inconnu,99,1.65,533,18.574108818011258,0.0275,France Télévisions
Reconquête,00:00:28,TV5Monde,inconnu,28,0.4666666666666667,533,5.253283302063791,0.0077777777777777776,France Télévisions
temps_president,00:00:55,TV5Monde,inconnu,55,0.9166666666666666,533,10.318949343339586,0.015277777777777777,France Télévisions
Divers Gauche,00:00:37,RadioClassique,radio,37,0.6166666666666667,1114,3.321364452423698,0.010277777777777778,Groupe Les Echos-Le Parisien
Horizons,00:01:54,RadioClassique,radio,114,1.9,1114,10.23339317773788,0.03166666666666667,Groupe Les Echos-Le Parisien
La France insoumise,00:00:24,RadioClassique,radio,24,0.4,1114,2.154398563734291,0.006666666666666667,Groupe Les Echos-Le Parisien
Les Ecologistes,00:00:05,RadioClassique,radio,5,0.08333333333333333,1114,0.4488330341113106,0.001388888888888889,Groupe Les Echos-Le Parisien
Les Républicains,00:01:44,RadioClassique,radio,104,1.7333333333333334,1114,9.33572710951526,0.028888888888888888,Groupe Les Echos-Le Parisien
Parti communiste français,00:00:28,RadioClassique,radio,28,0.4666666666666667,1114,2.5134649910233393,0.0077777777777777776,Groupe Les Echos-Le Parisien
Parti socialiste,00:00:08,RadioClassique,radio,8,0.13333333333333333,1114,0.718132854578097,0.0022222222222222222,Groupe Les Echos-Le Parisien
Place publique,00:00:32,RadioClassique,radio,32,0.5333333333333333,1114,2.872531418312388,0.008888888888888889,Groupe Les Echos-Le Parisien
Rassemblement national,00:02:40,RadioClassique,radio,160,2.6666666666666665,1114,14.362657091561939,0.044444444444444446,Groupe Les Echos-Le Parisien
Reconquête,00:00:25,RadioClassique,radio,25,0.4166666666666667,1114,2.244165170556553,0.006944444444444444,Groupe Les Echos-Le Parisien
temps_president,00:09:37,RadioClassique,radio,577,9.616666666666667,1114,51.79533213644524,0.16027777777777777,Groupe Les Echos-Le Parisien
Horizons,00:02:17,M6,TV généraliste,137,2.283333333333333,1166,11.749571183533448,0.03805555555555556,Groupe M6
La France insoumise,00:01:24,M6,TV généraliste,84,1.4,1166,7.204116638078903,0.023333333333333334,Groupe M6
Les Ecologistes,00:01:29,M6,TV généraliste,89,1.4833333333333334,1166,7.632933104631218,0.024722222222222222,Groupe M6
Les Républicains,00:05:04,M6,TV généraliste,304,5.066666666666666,1166,26.07204116638079,0.08444444444444445,Groupe M6
Parti communiste français,00:00:41,M6,TV généraliste,41,0.6833333333333333,1166,3.516295025728988,0.01138888888888889,Groupe M6
Parti socialiste,00:01:00,M6,TV généraliste,60,1.0,1166,5.145797598627787,0.016666666666666666,Groupe M6
Rassemblement national,00:03:46,M6,TV généraliste,226,3.7666666666666666,1166,19.382504288164665,0.06277777777777778,Groupe M6
Reconquête,00:00:35,M6,TV généraliste,35,0.5833333333333334,1166,3.0017152658662094,0.009722222222222222,Groupe M6
Renaissance,00:02:18,M6,TV généraliste,138,2.3,1166,11.83533447684391,0.03833333333333333,Groupe M6
temps_president,00:00:52,M6,TV généraliste,52,0.8666666666666667,1166,4.459691252144083,0.014444444444444444,Groupe M6
Horizons,00:08:00,RFI,radio,480,8.0,7135,6.72740014015417,0.13333333333333333,France media Monde
La France insoumise,00:11:15,RFI,radio,675,11.25,7135,9.4604064470918,0.1875,France media Monde
Les Ecologistes,00:12:05,RFI,radio,725,12.083333333333334,7135,10.161177295024528,0.2013888888888889,France media Monde
Les Républicains,00:27:40,RFI,radio,1660,27.666666666666668,7135,23.265592151366505,0.46111111111111114,France media Monde
Mouvement démocrate,00:00:47,RFI,radio,47,0.7833333333333333,7135,0.6587245970567625,0.013055555555555556,France media Monde
Parti communiste français,00:01:45,RFI,radio,105,1.75,7135,1.4716187806587244,0.029166666666666667,France media Monde
Parti socialiste,00:13:20,RFI,radio,800,13.333333333333334,7135,11.212333566923615,0.2222222222222222,France media Monde
Rassemblement national,00:22:49,RFI,radio,1369,22.816666666666666,7135,19.187105816398038,0.38027777777777777,France media Monde
Reconquête,00:03:14,RFI,radio,194,3.2333333333333334,7135,2.718990889978977,0.05388888888888889,France media Monde
